SKU,Description,SP,CP,SP,productname,Brand,Size,imgurl,Stock
331556-03025-140-M,"
							Improving on perfection isn't easy but K-Swiss has managed just that with their updated Big Shot II tennis shoe to provide the fastest tennis shoe on the market. A faster, wider, lower, more stable, more durable, tennis shoe.

The shoe is designed to offer unrivalled durability and comfort, featuring superb metatarsal rigidity and spring via the head propulsion plate. Designed with the K-Swiss 70 system a combination of technologies designed to deliver the highest levels of performance tennis products.

The featured SuperFoam technology is a space aged energy return foam that resists compression and lasts longer providing cushioning and comfort. The Aosta 70 rubber compound outsole features lateral support outrigger providing further comfort and support.

Fitted with K-Swiss Draguard technology, located in high wear areas of the toe and heel offer increased abrasion-resistance. Durawrap technology provides an extra line of defence against excessive toe-dragging. The Midsole is fitted with a superb arsenal of technologies. K-EVA specialized EVA provides maximized cushioning and enhanced durability.Y-beam technology, a mid-foot support structure, anchors the arch area with a TPU injection component.

The Featured heel grip lining, manufactured from interlocking fibres, grip the sock to help prevent slippage. Fitted with K-Swiss Stay-tied lacing system; this technology acts as a catch to ensure the laces remain tied, even during the toughest of games.

In addition the K-Swiss Flow Cool system ensures your feet stay cool and dry from heel- to toe in even the most testing of hot conditions out on the court. Ortholite utilises moisture management with anti-microbial properties to keep feet cool and minimise the effects of perspiration.MaterialRubber Synthetic Material 						",89.99,10499,12283.83,K-SWISS Bigshot II Men's Tennis Shoe,K-SWISS,UK6;UK7.5;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11,"http://products.activinstinct.com/y2012/m12/331556/61263996-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
413880-631475-018,"
							The Nike Zoom Vapor 9.5 Tour Women's Shoe features a Dynamic Fit system for a glove-like fit and Nike Zoom units for low-profile, super responsive cushioning. The textile upper delivers lightweight breathability.

Benefits

Textile material in the upper with sublimated graphic for lightweight breathability and style
Dynamic Fit system wraps the midfoot and arch for a glove-like fit
TPU footframe wraps from the lateral midfoot to the heel for stability during quick turns
Phylon midsole for lightweight cushioning and optimal responsiveness
Nike Zoom unit in the heel for low-profile responsive cushioning
Rubber outsole with XDR compound on the heel and forefoot for multisurface traction and durability

Product Details

TPU midfoot shank for lateral support and stability
Footframe material wraps the toe to enhance durability
Deep flex grooves for enhanced articulation and natural movementMaterialRubber Synthetic Material 						",89.99,10499,12283.83,NIKE Zoom Vapor 9.5 Tour Ladies Tennis Shoe,NIKE,UK6.5;UK7,"http://products.activinstinct.com/y2014/m02/413880/67932646-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
419489-WRS317800,"
							Designed for the competitive player who wants an aggressive look and an ultra-lightweight feel. The Rush NGX offers advanced performance, fit and court feel. The Rush NGX features technologies to provide added acceleration and lightweight responsiveness, with exceptional fit and feel.

2D-F.S provides superior support, enhanced responsiveness, lateral stability and control. Endofit ensures enhanced comfort, stability and an overall intuitive fit experience.

There is brilliant forefoot responsiveness, low to the ground court feel and dynamic cushioning, while a Duralast outsole improves court traction and grip for maximum wear and durability.MaterialRubber Synthetic Material 						",71.99,8699,10177.83,WILSON Rush NGX Men's Tennis Shoe,WILSON,UK6.5;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11,"http://products.activinstinct.com/y2014/m03/419489/16553161-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
419459-WRS317590,"
							Designed for the competitive player who wants an aggressive look and an ultra-lightweight feel. The Rush NGX offers advanced performance, fit and court feel. The Rush NGX features technologies to provide added acceleration and lightweight responsiveness, with exceptional fit and feel.

2D-F.S provides superior support, enhanced responsiveness, lateral stability and control. Endofit ensures enhanced comfort, stability and an overall intuitive fit experience.

There is brilliant forefoot responsiveness, low to the ground court feel and dynamic cushioning, while a Duralast outsole improves court traction and grip for maximum wear and durability.MaterialRubber Synthetic Material 						",71.99,8699,10177.83,WILSON Rush NGX Men's Tennis Shoe,WILSON,UK6.5;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK11.5;UK12,"http://products.activinstinct.com/y2014/m03/419459/65537551-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
405450-WRS317840,"
							The Wilson Rush Swing Ladies Tennis Shoe utilises a range of technologies to provide you with a mixture of comfort, performance and durability, all of which are essential to helping you on your way to winning more games, sets and matches.

DF3 provides forefoot responsiveness and all round court feel with cushioning and comfort.

RDST provides superior cushioning in the heel and improved rebound in the forefoot for faster response time.

Duralast Outsole improves court traction and grip for maximum wear and durability.MaterialRubber Synthetic Material 						",35.99,5099,5965.83,WILSON Rush Swing Men's Tennis Shoe,WILSON,UK6.5;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK11.5;UK12.5,"http://products.activinstinct.com/y2014/m01/405450/43234040-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
419504-WRS318650,"
							Designed for the competitive player, this offers advanced performance, fit and court feel. The technologies in the shoe provide explosive acceleration, low to the ground court feel and innovative forefoot stability that supports controlled deceleration, improving movement and responsiveness on the court.

2D-F.S provides superior support, enhanced responsiveness, lateral stability and control. Endofit ensures enhanced comfort, stability and an overall intuitive fit experience.

A Duralast outsole improves court traction and grip for maximum wear and durability.MaterialRubber Synthetic Material 						",89.99,10499,12283.83,WILSON Rush Pro Men's Tennis Shoe,WILSON,UK6.5;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK11.5;UK12.5,"http://products.activinstinct.com/y2014/m03/419504/96565057-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
405436-WRS317830,"
							The Wilson Rush Swing Ladies Tennis Shoe utilises a range of technologies to provide you with a mixture of comfort, performance and durability, all of which are essential to helping you on your way to winning more games, sets and matches.

DF3 provides forefoot responsiveness and all round court feel with cushioning and comfort.

RDST provides superior cushioning in the heel and improved rebound in the forefoot for faster response time.

Duralast Outsole improves court traction and grip for maximum wear and durability.MaterialRubber Synthetic Material 						",35.99,5099,5965.83,WILSON Rush Swing Men's Tennis Shoe,WILSON,UK6.5;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK11.5;UK12.5;UK13.5,"http://products.activinstinct.com/y2014/m01/405436/80602667-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
404551-599364-144,"
							The Nike Air Vapor Advantage Women's Tennis Shoe offers enhanced comfort and long-lasting stability on the court with lightweight impact protection and a durable rubber outsole.

Benefits

Lightweight combination upper for a comfortable fit
Full-length Phylon midsole with encapsulated Air-Sole unit in the heel for lightweight cushioning and impact protection
XDR rubber compound outsole with midfoot shank for durability and stabilityMaterialRubber Synthetic Material 						",58.49,7349,8598.33,NIKE Air Vapor Advantage Ladies Tennis Shoe,NIKE,UK6.5;UK7.5;UK8,"http://products.activinstinct.com/y2014/m01/404551/78922061-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
402357-631653-136,"
							The Nike Lunar Ballistec Men's Tennis Shoe features Dynamic Flywire technology for ultra lightweight support and a glove-like fit you can customise by adjusting the laces. Advanced Lunarlon delivers superior cushioning without added bulk, and Nike DragOn technology provides support, durability and stability.

Benefits

Combination synthetic leather and mesh upper for lightweight comfort and durability
Dynamic Flywire technology for customisable ultra-lightweight support
DragOn technology at medial side for support, durability and stability
Ultra-lightweight, springy Lunarlon cushioning for soft yet responsive shock absorption
TPU midfoot shank for lateral support and stability for quick directional changes and sprints
XDR outsole for extreme durability and targeted traction

Product Details

Lateral outrigger for enhanced stability
Herringbone pattern for durable, multi-surface traction
Flex grooves for enhanced articulation and flexibilityMaterialRubber Synthetic 						",79.99,9499,11113.83,NIKE Lunar Ballistec Men's Tennis Shoe,NIKE,UK7;UK10.5,"http://products.activinstinct.com/y2014/m01/402357/78621301-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
408564-03168-658-M,"
							A new ultra lightweight and breathable high-end tennis shoe, offering superior cushioning. Seamfree technology ensures a high level of comfort and Durawrap reinforcement guarantees lightweight durability in high wear areas.

Durawrap provides an extra line of defence against excessive toe-dragging. K-EVA is a special formula EVA to provide maximised cushioning and enhance the durability of the midsole.

The Aosta 7.0 Rubber Compound is a high-density outsole provides unsurpassed durability from heel to toe. DragGuard is located in high wear areas of the toe and heel, offering increased resistance to abrasion and hard wear.

The Heel Grip Lining is made from interlocking fibres that grip the sock to minimise heel slippage. Moisture management is provided by Ortholite, with anti-microbial properties to keep feet cool and minimise the effects of perspiration.

A 180 PSC Plantar acts as a support chassis made from thermal plastic to enhance mid-foot stability. A state-of-the-art heat welded seamless upper construction bonds the layers of synthetic suede and TPU onto tech mesh without stitching.MaterialRubber Synthetic 						",76.49,9149,10704.33,K-SWISS Ultra-Express Men's Tennis Shoes,K-SWISS,UK7;UK7.5;UK8;UK8.5;UK9;UK10;UK10.5;UK11;UK12,"http://products.activinstinct.com/y2014/m02/408564/20242398-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
419474-WRS317670,"
							Designed for the competitive player, this offers advanced performance, fit and court feel. The technologies in the shoe provide explosive acceleration, low to the ground court feel and innovative forefoot stability that supports controlled deceleration, improving movement and responsiveness on the court.

2D-F.S provides superior support, enhanced responsiveness, lateral stability and control. Endofit ensures enhanced comfort, stability and an overall intuitive fit experience.

A Duralast outsole improves court traction and grip for maximum wear and durability.MaterialRubber Synthetic Material 						",89.99,10499,12283.83,WILSON Rush Pro Men's Tennis Shoe,WILSON,UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5,"http://products.activinstinct.com/y2014/m03/419474/19889307-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
